property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD38952,,6043,House,Residence,75000.0,3.0,102.0,0,0,0,0,,0,2.0,0,To be renovated
VBD38573,Fernand Stilmant 44,6240,House,Residence,130000.0,4.0,140.0,0,0,0,0,,1,2.0,0,Normal
VBD39300,Rue du Corbeau 128 8,6200,Apartment,Apartment,119000.0,2.0,73.0,1,0,0,1,,0,3.0,0,Normal
VBD39290,Rue Paul Pastur 11,6180,House,Residence,255000.0,4.0,270.0,1,0,0,1,,1,2.0,0,Excellent
VBD36876,,6560,House,Residence,94500.0,2.0,153.0,0,0,0,1,10.0,1,2.0,0,
VBC89519,Chemin des Goulettes 29,6032,House,Residence,,4.0,,1,0,0,1,,1,4.0,0,Normal
VBD39380,Avenue Paul Pastur 192,6200,Apartment,Apartment,209000.0,2.0,70.0,0,0,0,1,,0,4.0,0,Normal
VBD38998,,6470,House,Villa,797000.0,5.0,350.0,1,0,0,1,130.0,1,4.0,1,Excellent
VWD15213,,6150,House,Residence,79000.0,2.0,97.0,1,0,0,0,,0,3.0,0,To be renovated
VBD38627,Rue du Sewoir 103 B,7870,House,Villa,165000.0,3.0,95.0,0,0,0,0,,1,4.0,0,To be renovated
VBD39372,Rue Coin Ledoux 18,6224,House,Residence,190000.0,3.0,77.0,0,0,0,0,,1,2.0,0,Normal
VWD15209,,6061,House,Residence,149000.0,2.0,100.0,1,0,0,1,,1,2.0,0,Normal
VBD38246,Rue Royale 163,7141,House,Residence,249000.0,3.0,500.0,0,0,0,0,,0,3.0,0,To be renovated
VBD38220,Rue louis caty 187,7033,House,Residence,185000.0,2.0,110.0,0,0,0,0,,1,3.0,0,To be renovated
VBD38927,,6560,House,Residence,288500.0,5.0,171.0,0,0,0,1,30.0,1,4.0,0,
VBD38958,Emile vandervelde 10+,6200,House,Residence,179000.0,3.0,125.0,0,0,0,1,,0,,0,Normal
VBD38382,Chaussée du Clorbus 98,7700,House,Villa,525000.0,4.0,258.0,0,0,0,1,94.0,1,4.0,0,Normal
VBD38628,Place de Naast 6,7062,House,Mixed building,290000.0,4.0,137.0,0,0,0,1,,1,2.0,0,To renovate
VBD12061,Faubourg de Binche 24 C,7070,Apartment,Ground floor,105000.0,1.0,65.0,0,0,0,0,,0,2.0,0,Normal
VBD01550,,6044,House,Residence,110000.0,2.0,48.0,1,0,0,0,,1,2.0,0,Excellent
VBD36719,Rue de la Tête d'Argent 5,7500,House,Mixed building,390000.0,2.0,206.0,0,0,0,0,,0,2.0,0,Normal
VBD37206,Rue des Alliés 42,6150,House,Villa,379000.0,2.0,138.0,1,0,0,1,20.0,1,4.0,0,Excellent
VBD36117,Rue des Campeaux 42 21,7500,Apartment,Apartment,120000.0,2.0,97.0,1,0,0,1,1.0,0,2.0,0,Normal
VBD35387,Rue du Puits-Caffin 3,7800,House,Master house,399000.0,4.0,,0,0,0,1,,1,2.0,0,Normal
VBD36695,des d?port?s 47,6042,House,Residence,39000.0,1.0,43.0,0,0,0,0,,0,,0,
