property_ID,locality_name,postal_code,type,subtype,price (€),number_of_bedrooms,living_area (m²),"equiped_kitchen (yes:1, no:0)","furnished (yes:1, no:0)","open_fire (yes:1, no:0)","terrace (yes:1, no:0)",terrace_area (m²),"garden (yes:1, no:0)",number_facades,"swimming_pool (yes:1, no:0)",state_of_building
VBD29876,Boulevard du Souverain 360 A306,1160.0,Apartment,Apartment,905000.0,3.0,144.0,1,0,0,1,34.0,0,,0,New
VBD29857,Boulevard du Souverain 360 A602,1160.0,Apartment,Apartment,925000.0,3.0,125.0,1,0,0,1,31.0,0,,0,New
VBD29855,Boulevard du Souverain 360 A506,1160.0,Apartment,Apartment,975000.0,3.0,144.0,1,0,0,1,34.0,0,,0,New
VBD29875,Boulevard du Souverain 360 A606,1160.0,Apartment,Apartment,997000.0,3.0,144.0,1,0,0,1,44.0,0,,0,New
VBD29860,Boulevard du Souverain 360 A003,1160.0,Apartment,Ground floor,650000.0,2.0,110.0,1,0,0,1,30.0,1,,0,New
VBD29878,Boulevard du Souverain 360 A002,1160.0,Apartment,Ground floor,795000.0,3.0,125.0,1,0,0,1,56.0,1,,0,New
VBD29871,Boulevard du Souverain 360 A702,1160.0,Apartment,Penthouse,1250000.0,3.0,131.0,1,0,0,1,101.0,0,,0,New
VBD29853,Boulevard du Souverain 360 A703,1160.0,Apartment,Penthouse,1695000.0,3.0,185.0,1,0,0,1,113.0,0,,0,New
VBD43607,Rue Engeland 1,1180.0,House,Residence,795000.0,4.0,215.0,0,0,0,1,28.0,1,2.0,0,New
VBD43608,Rue Engeland 1,1180.0,House,Residence,860000.0,4.0,239.0,0,0,0,1,12.0,1,2.0,0,New
VBD43487,Avenue de Tervueren 249-255 TS1.6,1150.0,Apartment,Apartment,748000.0,3.0,136.0,1,0,0,1,30.0,1,2.0,0,New
VBD51364,Rue des Vétérinaires 45 14,1070.0,Apartment,Loft,449000.0,2.0,168.0,1,0,0,1,9.0,0,2.0,0,Excellent
VBD51320,AVENUE DES PAGODES 357,1020.0,Apartment,Apartment,265000.0,2.0,82.0,0,0,0,1,10.0,1,,0,Normal
VBD51292,,1080.0,Apartment,Apartment,249000.0,2.0,111.0,1,0,0,1,14.0,0,2.0,0,Excellent
VBD51417,Chaussée d'Alsemberg 365,1190.0,Apartment,Apartment,350000.0,1.0,91.0,0,0,0,1,2.0,0,2.0,0,To be renovated
VBD51418,Chaussée d'Alsemberg 365,1190.0,Apartment,Apartment,380000.0,1.0,91.0,0,0,0,1,2.0,0,2.0,0,Normal
VBD51249,,1040.0,House,Residence,655000.0,4.0,233.0,0,0,0,0,,1,2.0,0,To be renovated
VBD51294,,1190.0,House,Residence,449000.0,4.0,135.0,1,0,0,1,,1,2.0,0,Excellent
VBD51402,Champ du Vert Chasseur 57,1180.0,House,Villa,1350000.0,4.0,450.0,1,0,0,1,,1,4.0,0,To renovate
RBU68999,,1080.0,Apartment,Apartment,199000.0,3.0,110.0,0,0,0,1,10.0,0,,0,Normal
RBU68647,Square Marie-Louise 29,1000.0,Apartment,Apartment,245000.0,1.0,50.0,0,0,0,0,,0,2.0,0,To be renovated
VBD51293,,1180.0,House,Residence,449000.0,4.0,135.0,1,0,0,1,,1,2.0,0,Excellent
VBD51287,Rue Blaes 225,1000.0,House,Mixed building,600000.0,4.0,140.0,0,0,0,0,,0,2.0,0,To renovate
VBD51414,Rue Bodeghem 41,1000.0,Apartment,Apartment,274900.0,2.0,90.0,0,0,0,0,,0,2.0,0,Normal
RBU68976,SQUARE MARIE-LOUISE 4,1000.0,Apartment,Apartment,335000.0,1.0,75.0,0,0,0,1,6.0,0,,0,Normal
VBD51401,Rue de l'Orient 42,1040.0,House,Residence,575000.0,3.0,144.0,0,0,0,1,35.0,0,3.0,0,Normal
VBD51400,Venelle Robert Brout 4,1180.0,Apartment,Apartment,390000.0,2.0,89.0,0,0,0,1,12.0,0,2.0,0,Excellent
VBD51385,Montagne au Chaudron 15 A,1150.0,Apartment,Duplex,645000.0,4.0,177.0,1,0,0,1,34.0,1,3.0,0,Excellent
VBD51286,Rue Eloy 27,1070.0,House,Mixed building,380000.0,3.0,350.0,1,0,0,0,,0,2.0,0,Normal
VBD51357,Clos Théodore De Cuyper 230,1200.0,Apartment,Ground floor,260000.0,1.0,71.0,1,0,0,1,13.0,0,2.0,0,Normal
VBD51288,,1180.0,Apartment,Apartment,350000.0,2.0,105.0,1,0,0,1,15.0,0,,0,Normal
VBD51227,Avenue du Prince d'Orange 44A,1180.0,Apartment,Apartment,1575000.0,4.0,320.0,0,0,0,1,,1,4.0,0,To be renovated
VBD51214,,1080.0,Apartment,Apartment,195000.0,2.0,90.0,0,0,0,1,14.0,0,2.0,0,To renovate
VBD51187,Rue Poxcat 13,1190.0,Apartment,Apartment,595000.0,2.0,115.0,1,0,0,1,75.0,1,4.0,0,Excellent
VBD51183,,1150.0,Apartment,Apartment,645000.0,3.0,200.0,0,0,0,0,,0,,0,Normal
VBD51193,Boulevard Emile Bockstael 250,1020.0,Apartment,Apartment,134000.0,1.0,44.0,1,0,0,0,,0,,0,Excellent
VBD51224,Avenue Roger Lallemand 3,1050.0,Apartment,Penthouse,695000.0,2.0,150.0,1,0,0,1,40.0,0,3.0,0,Excellent
RBU68646,Van Campenhoutstraat 45,1000.0,House,Residence,449000.0,3.0,180.0,0,0,0,1,8.0,0,,0,To be renovated
VBD51211,Rue des goujons 112,1070.0,Apartment,Apartment,359000.0,2.0,96.0,0,0,0,0,,0,3.0,0,Normal
VBD51185,,1170.0,Apartment,Apartment,610000.0,2.0,120.0,1,0,0,1,25.0,0,2.0,0,Excellent
VBD51152,Boulevard Maurice Lemonnier 63,1000.0,Apartment,Apartment,245000.0,2.0,97.0,0,0,0,1,4.0,0,2.0,0,To be renovated
VBD51223,Boulevard Lambermont 131a,1030.0,House,Residence,,4.0,290.0,1,0,0,1,20.0,1,2.0,0,Excellent
RBU68643,Louis Mettewielaan 87,1080.0,Apartment,Studio,145000.0,1.0,60.0,1,0,0,1,12.0,0,2.0,0,Normal
VBD51228,Rue Darwin 26A,1050.0,Apartment,Apartment,465000.0,1.0,122.0,0,0,0,1,,1,2.0,0,Normal
VBD51222,Montagne de Saint-Job 8C,1180.0,House,Residence,775000.0,5.0,195.0,1,0,0,1,15.0,1,2.0,0,Normal
VBD51218,,1150.0,House,Residence,670000.0,4.0,170.0,0,0,0,1,8.0,0,3.0,0,To be renovated
VBD51217,Chaussée de Gand 1193,1082.0,Apartment,Apartment,169000.0,1.0,55.0,1,0,0,0,,0,2.0,0,Normal
VBD51213,Clos des Trigonelles 1 19,1120.0,Apartment,Apartment,299000.0,3.0,100.0,0,0,0,1,12.0,0,4.0,0,Normal
VBD51162,Quai du Commerce 17,1000.0,Apartment,Apartment,350000.0,1.0,61.0,1,0,0,0,,0,2.0,0,Fully renovated
VBD51186,,1190.0,Apartment,Penthouse,895000.0,3.0,150.0,1,0,0,1,80.0,0,4.0,0,Excellent
VBD51098,Avenue du Martin-Pêcheur 58 29,1170.0,Apartment,Apartment,280000.0,2.0,71.0,0,0,0,1,15.0,0,2.0,0,Normal
VBD51083,Quai au Foin 59-65,1000.0,Apartment,Studio,275000.0,0.0,54.0,1,0,0,0,,0,2.0,0,New
VBD51120,,1000.0,Apartment,Ground floor,345000.0,1.0,89.0,1,0,0,1,7.0,1,4.0,1,Normal
RBU68428,KIEKENMARKT 52 413,1000.0,Apartment,Apartment,215000.0,1.0,60.0,0,1,0,0,,0,2.0,0,Normal
VBD51081,Quai au Foin 59-65,1000.0,Apartment,Penthouse,1495000.0,3.0,197.0,1,0,0,1,70.0,0,2.0,0,New
VBD51151,Boulevard Louis Mettewie 67,1080.0,Apartment,Apartment,249000.0,3.0,145.0,1,0,0,1,12.0,0,2.0,0,Normal
VBD51117,,1070.0,House,Residence,525000.0,5.0,207.0,1,0,0,1,38.0,1,2.0,0,Excellent
VBD51092,Boulevard Sylvain Dupuis 211 9,1070.0,Apartment,Apartment,249000.0,2.0,91.0,0,0,0,1,9.0,0,2.0,0,Normal
VBD51044,Rue Léon Mignon 30,1030.0,Apartment,Triplex,425000.0,2.0,111.0,0,0,0,0,,1,,0,Fully renovated
VBD51054,Avenue du Roi Albert 95,1082.0,House,Residence,650000.0,5.0,,0,0,0,1,36.0,1,2.0,0,
VBD51105,,1190.0,House,Residence,665000.0,5.0,206.0,0,0,0,1,,1,2.0,0,To be renovated
VBD51046,,1080.0,Apartment,Apartment,260000.0,2.0,100.0,1,0,0,1,9.0,0,2.0,0,Normal
VBD51082,Quai au Foin 59-65,1000.0,Apartment,Apartment,630000.0,3.0,130.0,1,0,0,1,18.0,1,2.0,0,New
VWD15637,Rue des trois rois 28,1180.0,Apartment,Apartment,239000.0,1.0,75.0,0,0,0,1,,0,2.0,0,
VBD51122,,1190.0,House,Residence,950000.0,5.0,294.0,1,0,0,1,13.0,1,2.0,0,To be renovated
VBD51100,Rue du Paruck 39,1080.0,Apartment,Apartment,252000.0,2.0,92.0,0,0,0,1,12.0,0,2.0,0,Excellent
VBD51045,Rue Léon Mignon 30,1030.0,Apartment,Ground floor,425000.0,2.0,111.0,0,0,0,1,,1,,0,Fully renovated
VBD51121,,1050.0,House,Residence,950000.0,5.0,294.0,1,0,0,1,13.0,1,2.0,0,To be renovated
VBD50956,Avenue du Tennis 27,1150.0,House,Residence,995000.0,4.0,220.0,1,0,0,1,10.0,1,3.0,0,Excellent
VBD50998,Rue Saint-Pierre 63,1000.0,Apartment,Apartment,399000.0,2.0,105.0,0,0,0,1,,0,,0,Fully renovated
VBD50990,Rue Florimond De Pauw 46,1070.0,House,Residence,390000.0,3.0,154.0,0,0,0,1,4.0,1,2.0,0,To renovate
VBD51003,Rue des Mimosas 88,1030.0,House,Residence,1335000.0,5.0,352.0,0,0,0,1,50.0,1,,0,Fully renovated
RBU68399,Keizer Karellaan 147,1082.0,Apartment,Apartment,185000.0,1.0,80.0,0,0,0,0,,0,,0,To be renovated
VBD50970,Boulevard du Souverain 272,1160.0,Apartment,Penthouse,460000.0,2.0,91.0,1,0,0,1,7.0,0,2.0,0,Normal
VBD50974,Rue Van Schoor 17,1030.0,House,Residence,599000.0,8.0,378.0,0,0,0,1,10.0,1,2.0,0,Normal
VBD51030,Avenue Ernest Cambier 123,1030.0,Apartment,Apartment,395000.0,2.0,130.0,1,0,0,1,8.0,0,,0,Excellent
VBD50982,Rue Egide Walschaerts 29 1,1060.0,Apartment,Duplex,595000.0,2.0,132.0,1,1,0,1,25.0,1,2.0,0,Excellent
VBD50971,Rue de Wynants 27,1000.0,House,Mixed building,1750000.0,4.0,344.0,1,0,0,0,,1,2.0,0,Fully renovated
VWD15626,Bosquet 45 26,1060.0,Apartment,Apartment,220000.0,1.0,50.0,0,0,0,1,5.0,0,1.0,0,Normal
VBD51042,Rue Léon Mignon 30,1030.0,Apartment,Apartment,425000.0,2.0,111.0,0,0,0,0,,1,,0,Fully renovated
VBD51036,Rue Prince Baudouin 130,1083.0,Apartment,Apartment,249000.0,2.0,85.0,1,0,0,1,4.0,0,2.0,0,Normal
VBD50978,Boulevard Louis Mettewie 71,1080.0,Apartment,Apartment,300000.0,5.0,142.0,1,0,0,1,20.0,0,3.0,0,To renovate
VBD50975,Rue Roodenberg 10,1160.0,Apartment,Apartment,225000.0,1.0,45.0,1,0,0,0,,0,2.0,0,Normal
VBD51004,Rue des Mimosas 86,1030.0,House,Residence,685000.0,4.0,200.0,0,0,0,1,50.0,1,,0,Fully renovated
VBD50980,Avenue Franklin Roosevelt 103,1050.0,Apartment,Triplex,1195000.0,3.0,191.0,1,0,0,1,58.0,1,3.0,0,Excellent
VBD50979,Avenue des Tamaris 12,1080.0,Apartment,Ground floor,195000.0,2.0,75.0,0,0,0,1,3.0,0,3.0,0,Normal
VBD51026,,1180.0,House,Residence,1390000.0,5.0,379.0,0,0,0,1,50.0,1,2.0,0,
VBD50925,,1000.0,Apartment,Apartment,450000.0,2.0,70.0,0,1,0,1,,0,2.0,0,
VBD50897,,1070.0,Apartment,Apartment,119000.0,1.0,37.0,0,0,0,1,5.0,0,4.0,0,
VBD50898,,1082.0,Apartment,Apartment,249000.0,2.0,90.0,0,0,0,0,,0,3.0,0,
VBD50927,,1210.0,Apartment,Apartment,295000.0,2.0,90.0,0,0,0,1,25.0,0,4.0,0,
VBD50908,,1020.0,Apartment,Apartment,250000.0,2.0,100.0,0,0,0,0,,0,2.0,0,To be renovated
VBD50928,,1080.0,Apartment,Apartment,275000.0,2.0,120.0,0,0,0,1,15.0,0,2.0,0,
